product ID,product name,product code,description,category_id,price,stock_quantity,supplier_id,created_at,updated_at,image_url,weight,expiry_date,is_active,tax_rate,store_id
PROD1A23B4,Apple iPhone 12,IPHN12,The latest iPhone model,1,999.99,100,101,01-01-2023,31-12-2023,https://example.com/iphone12.jpg,0.5 kg,,1,5,STORE1D2E3F4G
PROD5C67D8E,Samsung Galaxy S21,SGS21,High-performance Android smartphone,1,899.99,150,102,02-01-2023,30-12-2023,https://example.com/galaxys21.jpg,0.6 kg,,1,4.5,STORE5H6I7J8K
PRODA9B1C2D3,HP Pavilion Laptop,HPVPLP,Powerful laptop for work and entertainment,2,799.99,80,103,03-01-2023,29-12-2023,https://example.com/hppavilion.jpg,2.0 kg,,1,5,STOREL9M0N1O2
PROD4E5F6G7H,Dell 27-inch Monitor,DELLMON,High-resolution monitor for professionals,2,299.99,120,104,04-01-2023,28-12-2023,https://example.com/dellmonitor.jpg,5.0 kg,,1,5.5,STORE3P4Q5R6S
PROD2I3J4K5L,Sony PlayStation 5,PS5,Next-gen gaming console,3,499.99,70,105,05-01-2023,27-12-2023,https://example.com/ps5.jpg,6.0 kg,,1,6,STORE7T8U9V0W
PROD6M7N8O9P,Nintendo Switch,NSW,Hybrid gaming console,3,299.99,90,106,06-01-2023,26-12-2023,https://example.com/nintendoswitch.jpg,4.0 kg,,1,5,STOREX1Y2Z3A4
PROD4Q5R6S7T,Amazon Echo Dot (4th Gen),ECHO4,Smart speaker with Alexa,4,49.99,200,107,07-01-2023,25-12-2023,https://example.com/echodot.jpg,0.3 kg,,1,4,STORE5B6C7D8E
PROD8U9V1W2,Canon EOS Rebel T7i,REBELT7I,DSLR camera for photography enthusiasts,4,699.99,60,108,08-01-2023,24-12-2023,https://example.com/canoneos.jpg,1.5 kg,,1,5.5,STORE9F0G1H2I
PROD3X4Y5Z6,Fitbit Charge 5,FITBITC5,Advanced fitness tracker with heart rate monitor,4,179.99,250,109,09-01-2023,23-12-2023,https://example.com/fitbitcharge5.jpg,0.2 kg,,1,4,STORE3J4K5L6M
PROD7A8B9C0,Logitech MX Master 3,LOGIMX3,High-precision wireless mouse,4,99.99,300,110,10-01-2023,22-12-2023,https://example.com/logitechmx3.jpg,0.1 kg,,1,5,STORE7N8O9P0Q
